Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL,Missed Weekday,Missed date
12/05/2015,20.48,21,20.469999,20.83,20.282923,9720000,Tuesday,,,
13/05/2015,20.98,21.139999,20.75,20.950001,20.399769,7713100,Wednesday,,,
14/05/2015,21.01,21.4,20.959999,21.290001,20.730844,7326300,Thursday,,,
15/05/2015,21.379999,21.48,21.17,21.299999,20.740576,5395600,Friday,CL,,
18/05/2015,21.25,21.4,21.15,21.27,20.711365,8121800,Monday,OP,,
19/05/2015,21.200001,21.27,21,21.040001,20.581266,6345200,Tuesday,,,
20/05/2015,21.049999,21.299999,21.02,21.040001,20.581266,4920600,Wednesday,,,
21/05/2015,21.049999,21.139999,20.870001,20.889999,20.434538,5992300,Thursday,,,
22/05/2015,20.940001,21.02,20.809999,20.860001,20.405191,5314800,Friday,CL,,
26/05/2015,20.76,20.9,20.57,20.73,20.278025,6493300,Tuesday,OP,Monday,25/05/2015
27/05/2015,20.870001,21.940001,20.799999,21.84,21.363825,10808300,Wednesday,,,
28/05/2015,21.84,22.209999,21.799999,22.139999,21.657282,8191400,Thursday,,,
29/05/2015,22.139999,22.280001,22.1,22.129999,21.647501,8324900,Friday,CL,,
01/06/2015,22.27,22.6,22.129999,22.379999,21.89205,9316500,Monday,OP,,
02/06/2015,22.24,22.360001,21.92,21.940001,21.461647,5544000,Tuesday,,,
03/06/2015,22,22.17,21.66,21.700001,21.226875,6269700,Wednesday,,,
04/06/2015,21.57,22.16,21.57,22.09,21.608372,8092800,Thursday,,,
05/06/2015,22.02,22.360001,21.790001,22.26,21.774666,7833000,Friday,CL,,
08/06/2015,22.190001,22.34,21.5,21.75,21.275784,8549500,Monday,OP,,
09/06/2015,21.77,22.02,21.73,21.860001,21.383389,6422200,Tuesday,,,
10/06/2015,21.6,21.74,21.35,21.469999,21.00189,13236500,Wednesday,,,
11/06/2015,21.469999,21.85,21.469999,21.700001,21.226875,7076300,Thursday,,,
12/06/2015,21.559999,21.690001,21.059999,21.110001,20.64974,8093200,Friday,CL,,
15/06/2015,21,21.17,20.84,21.07,20.610613,7663700,Monday,OP,,
16/06/2015,21.030001,21.360001,20.82,21.33,20.864943,6422300,Tuesday,,,
17/06/2015,21.32,21.700001,21.27,21.58,21.109491,5838600,Wednesday,,,
18/06/2015,21.76,22.08,21.700001,21.940001,21.461647,7485100,Thursday,,,
19/06/2015,21.940001,22.120001,21.67,21.870001,21.393169,8891400,Friday,CL,,
22/06/2015,21.91,22.030001,21.450001,21.780001,21.305134,12855900,Monday,OP,,
