Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL
24/06/2015,2.6,2.66,2.57,2.62,2.62,17516700,Wednesday,
25/06/2015,2.62,2.66,2.57,2.58,2.58,18360200,Thursday,
26/06/2015,2.54,2.55,2.37,2.47,2.47,97054200,Friday,CL
29/06/2015,2.41,2.42,2.31,2.34,2.34,22971500,Monday,OP
30/06/2015,2.43,2.43,2.35,2.4,2.4,19381300,Tuesday,
01/07/2015,2.47,2.48,2.36,2.42,2.42,19375000,Wednesday,
02/07/2015,2.43,2.63,2.39,2.53,2.53,31185900,Thursday,CL
06/07/2015,2.46,2.54,2.44,2.47,2.47,20349400,Monday,OP
07/07/2015,2.04,2.14,2.02,2.09,2.09,46418700,Tuesday,
08/07/2015,2.07,2.07,2.01,2.01,2.01,15302900,Wednesday,
09/07/2015,2.04,2.06,1.93,1.98,1.98,23378200,Thursday,
10/07/2015,2,2.03,1.95,1.96,1.96,17520800,Friday,CL
13/07/2015,1.97,1.99,1.95,1.96,1.96,9080900,Monday,OP
14/07/2015,2.03,2.06,1.97,2.05,2.05,15812300,Tuesday,
15/07/2015,2.07,2.09,1.95,1.96,1.96,13517800,Wednesday,
16/07/2015,1.97,2,1.87,1.87,1.87,20653300,Thursday,
17/07/2015,1.87,1.9,1.74,1.79,1.79,28127100,Friday,CL
20/07/2015,1.82,1.84,1.77,1.8,1.8,12142400,Monday,OP
21/07/2015,1.82,1.83,1.78,1.8,1.8,15034500,Tuesday,
22/07/2015,1.8,1.81,1.76,1.79,1.79,16043400,Wednesday,
23/07/2015,1.8,1.81,1.75,1.76,1.76,10641900,Thursday,
24/07/2015,1.76,1.77,1.65,1.67,1.67,16478400,Friday,CL
27/07/2015,1.67,1.7,1.61,1.62,1.62,11916500,Monday,OP
28/07/2015,1.62,1.77,1.62,1.77,1.77,14614600,Tuesday,
29/07/2015,1.77,1.99,1.76,1.96,1.96,25582200,Wednesday,
30/07/2015,1.94,1.99,1.88,1.93,1.93,15837400,Thursday,
31/07/2015,1.94,1.99,1.92,1.93,1.93,7733700,Friday,CL
03/08/2015,1.93,2.2,1.9,2.2,2.2,26218200,Monday,OP
04/08/2015,2.18,2.18,2.05,2.13,2.13,14328400,Tuesday,
05/08/2015,2.11,2.21,2.1,2.16,2.16,13236000,Wednesday,
06/08/2015,2.15,2.17,2.1,2.11,2.11,9475000,Thursday,
07/08/2015,2.1,2.14,2.06,2.09,2.09,7680800,Friday,CL
10/08/2015,1.92,1.98,1.82,1.93,1.93,29926200,Monday,OP
11/08/2015,1.91,1.93,1.88,1.9,1.9,7453700,Tuesday,
12/08/2015,1.88,1.93,1.84,1.9,1.9,8521200,Wednesday,
13/08/2015,1.9,1.91,1.79,1.79,1.79,7839700,Thursday,
14/08/2015,1.8,1.85,1.79,1.84,1.84,6182100,Friday,CL
17/08/2015,1.82,1.88,1.8,1.8,1.8,9062400,Monday,OP
18/08/2015,1.79,1.82,1.75,1.8,1.8,9751900,Tuesday,
19/08/2015,1.8,1.81,1.76,1.8,1.8,7441200,Wednesday,
20/08/2015,1.79,1.8,1.7,1.7,1.7,13745700,Thursday,
21/08/2015,1.68,1.8,1.68,1.78,1.78,12529500,Friday,CL
24/08/2015,1.69,1.83,1.65,1.75,1.75,17217400,Monday,OP
